"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.10G258600.Wm82.a2.v1",57,45,38,24,28,48
"Glyma.11G172600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G082900.Wm82.a2.v1",8,7,0,1,3,1
"Glyma.18G078500.Wm82.a2.v1",8,13,12,10,8,24
"Glyma.13G002400.Wm82.a2.v1",77,78,62,86,89,82
"Glyma.11G048100.Wm82.a2.v1",314,229,231,349,495,238
"Glyma.13G215100.Wm82.a2.v1",0,0,2,0,2,0
"Glyma.18G230000.Wm82.a2.v1",25,38,25,28,24,17
"Glyma.04G141400.Wm82.a2.v1",2878,3147,2272,2369,2016,2149
"Glyma.09G055200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G248400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G093300.Wm82.a2.v1",2,3,1,0,0,0
"Glyma.18G073400.Wm82.a2.v1",127,138,80,98,161,113
"Glyma.15G114300.Wm82.a2.v1",78,101,69,80,78,48
"Glyma.13G217600.Wm82.a2.v1",558,479,404,277,345,343
"Glyma.12G191100.Wm82.a2.v1",111,108,77,93,115,76
"Glyma.08G186600.Wm82.a2.v1",75,82,83,135,155,121
"Glyma.02G042800.Wm82.a2.v1",3,5,1,1,2,2
"Glyma.13G023500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G082200.Wm82.a2.v1",258,264,206,187,180,222
"Glyma.02G225200.Wm82.a2.v1",3,2,0,2,3,0
"Glyma.03G133500.Wm82.a2.v1",92,90,69,85,97,69
"Glyma.17G170900.Wm82.a2.v1",130,146,120,112,161,142
"Glyma.13G065800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G148900.Wm82.a2.v1",32,10,19,24,35,24
"Glyma.03G135100.Wm82.a2.v1",101,31,47,36,42,47
"Glyma.04G010500.Wm82.a2.v1",491,518,369,375,348,305
"Glyma.09G206200.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.14G214100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G185900.Wm82.a2.v1",4,4,2,2,1,3
"Glyma.17G149200.Wm82.a2.v1",6,9,7,13,11,12
"Glyma.01G058600.Wm82.a2.v1",70,131,137,57,31,169
"Glyma.01G219800.Wm82.a2.v1",459,443,332,480,606,454
"Glyma.05G037200.Wm82.a2.v1",35,25,38,14,5,22
"Glyma.14G084100.Wm82.a2.v1",18,32,21,21,37,24
"Glyma.15G218700.Wm82.a2.v1",57,62,44,59,58,46
"Glyma.12G210500.Wm82.a2.v1",1,1,1,0,0,0
"Glyma.03G233800.Wm82.a2.v1",3,4,0,0,0,2
"Glyma.09G271600.Wm82.a2.v1",425,432,327,337,391,299
"Glyma.14G204000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G074700.Wm82.a2.v1",311,340,226,290,319,275
"Glyma.15G030900.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.04G213300.Wm82.a2.v1",117,130,109,126,124,107
"Glyma.08G065700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G079100.Wm82.a2.v1",248,242,171,207,225,193
"Glyma.09G095300.Wm82.a2.v1",1,1,0,0,1,3
"Glyma.17G204600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G229400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G249800.Wm82.a2.v1",563,520,384,329,411,320
"Glyma.03G132000.Wm82.a2.v1",115,119,82,176,198,118
"Glyma.03G217800.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.17G067600.Wm82.a2.v1",63,103,70,50,82,53
"Glyma.18G275000.Wm82.a2.v1",19,22,29,27,32,17
"Glyma.17G258300.Wm82.a2.v1",1277,1254,959,498,408,498
"Glyma.03G042700.Wm82.a2.v1",14,2,4,3,1,4
"Glyma.15G213200.Wm82.a2.v1",158,126,103,114,126,117
"Glyma.01G022900.Wm82.a2.v1",11,16,9,9,14,13
"Glyma.13G307200.Wm82.a2.v1",17,32,12,29,35,31
"Glyma.10G095300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G094500.Wm82.a2.v1",144,152,100,89,131,124
"Glyma.12G214000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G227500.Wm82.a2.v1",69,76,50,50,65,62
"Glyma.10G085100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G189100.Wm82.a2.v1",0,0,3,1,0,0
"Glyma.04G187500.Wm82.a2.v1",361,302,245,426,514,315
"Glyma.09G264100.Wm82.a2.v1",101,110,81,127,134,104
"Glyma.12G210800.Wm82.a2.v1",6,4,4,0,2,2
"Glyma.04G246100.Wm82.a2.v1",321,299,202,205,225,170
"Glyma.08G340400.Wm82.a2.v1",10,11,3,3,6,5
"Glyma.13G161300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G083600.Wm82.a2.v1",0,0,0,0,0,2
"Glyma.07G239900.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.12G126700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G178500.Wm82.a2.v1",2,0,0,0,0,0
"Glyma.15G014000.Wm82.a2.v1",34,43,18,32,14,22
"Glyma.11G104300.Wm82.a2.v1",156,137,106,73,47,68
"Glyma.12G175700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G142500.Wm82.a2.v1",21,31,18,8,10,26
"Glyma.13G095700.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.13G226300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G121100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G075200.Wm82.a2.v1",36,38,31,18,26,21
"Glyma.19G242800.Wm82.a2.v1",463,619,412,396,450,391
"Glyma.05G138900.Wm82.a2.v1",230,208,158,140,147,137
"Glyma.13G303100.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.18G032400.Wm82.a2.v1",1,0,1,0,1,0
"Glyma.02G224200.Wm82.a2.v1",64,49,46,46,62,54
"Glyma.13G117900.Wm82.a2.v1",190,227,267,192,259,186
"Glyma.13G007300.Wm82.a2.v1",0,0,0,1,0,1
"Glyma.18G190200.Wm82.a2.v1",16,9,15,6,6,8
"Glyma.U028300.Wm82.a2.v1",13,14,16,13,21,14
"Glyma.01G149300.Wm82.a2.v1",1262,1298,962,652,670,653
"Glyma.07G071600.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.17G095800.Wm82.a2.v1",467,448,391,353,381,374
"Glyma.05G026100.Wm82.a2.v1",4,6,4,4,2,12
"Glyma.10G003000.Wm82.a2.v1",84,100,85,90,93,72
"Glyma.09G161500.Wm82.a2.v1",16,16,16,11,10,15
"Glyma.10G225800.Wm82.a2.v1",384,361,258,306,345,278
"Glyma.18G240400.Wm82.a2.v1",367,437,297,371,454,263
"Glyma.10G247900.Wm82.a2.v1",0,1,1,0,0,0
"Glyma.10G268900.Wm82.a2.v1",120,100,75,38,43,36
"Glyma.12G233400.Wm82.a2.v1",164,253,210,86,94,114
"Glyma.11G069600.Wm82.a2.v1",3,8,2,3,2,3
"Glyma.02G077100.Wm82.a2.v1",78,104,60,78,99,54
"Glyma.06G214400.Wm82.a2.v1",113,50,10,27,43,45
"Glyma.09G256100.Wm82.a2.v1",56,58,56,182,274,134
"Glyma.06G248600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G234200.Wm82.a2.v1",114,120,86,98,97,99
"Glyma.09G048800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G205200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G049900.Wm82.a2.v1",27,14,2,13,6,5
"Glyma.20G213700.Wm82.a2.v1",25,13,7,3,5,6
"Glyma.17G226500.Wm82.a2.v1",142,227,135,89,149,211
"Glyma.10G157300.Wm82.a2.v1",38,32,26,29,36,21
"Glyma.08G016600.Wm82.a2.v1",333,359,269,233,299,233
"Glyma.08G274800.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.01G119900.Wm82.a2.v1",95,144,93,156,183,125
"Glyma.11G234300.Wm82.a2.v1",142,80,94,53,58,58
"Glyma.10G018700.Wm82.a2.v1",49,45,55,39,34,37
"Glyma.02G297500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G207200.Wm82.a2.v1",350,381,287,593,803,532
"Glyma.02G031300.Wm82.a2.v1",129,136,110,118,137,117
"Glyma.01G193100.Wm82.a2.v1",2,1,1,1,3,0
"Glyma.05G139500.Wm82.a2.v1",3,4,3,1,0,0
"Glyma.19G126900.Wm82.a2.v1",764,812,583,620,660,620
"Glyma.01G244400.Wm82.a2.v1",54,60,28,53,88,59
"Glyma.03G138500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G157900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G218500.Wm82.a2.v1",0,0,0,0,2,0
"Glyma.18G232300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G175300.Wm82.a2.v1",102,123,104,62,108,75
"Glyma.01G020300.Wm82.a2.v1",448,427,383,577,701,431
"Glyma.17G002200.Wm82.a2.v1",44,20,12,68,102,53
"Glyma.10G137000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G299300.Wm82.a2.v1",11,3,8,12,9,5
"Glyma.17G056600.Wm82.a2.v1",2,3,3,1,1,1
"Glyma.11G230100.Wm82.a2.v1",22,30,15,16,38,48
"Glyma.02G091400.Wm82.a2.v1",12,3,8,1,0,0
"Glyma.03G155400.Wm82.a2.v1",5,4,2,4,1,4
"Glyma.08G239800.Wm82.a2.v1",6,4,5,1,3,4
"Glyma.16G123700.Wm82.a2.v1",304,322,265,250,269,241
"Glyma.20G166100.Wm82.a2.v1",2,6,1,0,0,1
"Glyma.12G146200.Wm82.a2.v1",2,0,0,0,0,0
"Glyma.12G053700.Wm82.a2.v1",130,110,46,36,41,41
"Glyma.10G266400.Wm82.a2.v1",111,101,81,88,79,75
"Glyma.11G200300.Wm82.a2.v1",72,91,88,71,91,160
"Glyma.15G097400.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.13G301300.Wm82.a2.v1",149,170,154,176,143,142
"Glyma.16G180100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G112400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G143300.Wm82.a2.v1",115,126,87,121,104,90
"Glyma.17G043100.Wm82.a2.v1",46,55,35,39,42,41
"Glyma.13G229700.Wm82.a2.v1",60,52,33,25,27,21
"Glyma.06G254200.Wm82.a2.v1",290,303,247,324,391,290
"Glyma.04G027600.Wm82.a2.v1",499,515,499,376,482,424
"Glyma.15G067300.Wm82.a2.v1",0,2,1,1,1,0
"Glyma.19G162400.Wm82.a2.v1",15,22,15,18,12,20
"Glyma.17G046800.Wm82.a2.v1",4,2,3,2,4,4
"Glyma.13G183700.Wm82.a2.v1",8,3,3,4,8,7
"Glyma.16G024200.Wm82.a2.v1",57,78,66,56,71,51
"Glyma.09G264500.Wm82.a2.v1",3,1,2,2,1,1
"Glyma.09G131800.Wm82.a2.v1",158,155,127,69,81,82
"Glyma.06G315700.Wm82.a2.v1",35,18,19,24,24,19
"Glyma.01G108600.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.08G247200.Wm82.a2.v1",9,12,4,8,4,5
"Glyma.19G124000.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.03G156100.Wm82.a2.v1",51,51,41,55,65,35
"Glyma.14G098100.Wm82.a2.v1",21,30,8,8,13,15
"Glyma.10G186400.Wm82.a2.v1",93,89,61,73,83,68
"Glyma.19G026500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G042800.Wm82.a2.v1",3,0,1,0,1,0
"Glyma.18G059800.Wm82.a2.v1",60,71,84,68,61,66
"Glyma.06G272900.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.12G175300.Wm82.a2.v1",179,218,176,131,76,98
"Glyma.05G017800.Wm82.a2.v1",67,70,45,73,72,94
"Glyma.17G005100.Wm82.a2.v1",357,310,248,316,284,272
"Glyma.02G026500.Wm82.a2.v1",34,27,17,20,24,26
"Glyma.15G044800.Wm82.a2.v1",25,17,19,27,37,23
"Glyma.14G016200.Wm82.a2.v1",91,117,89,96,131,109
"Glyma.15G068200.Wm82.a2.v1",73,74,52,50,56,46
"Glyma.12G185700.Wm82.a2.v1",14,12,8,16,21,18
"Glyma.16G047800.Wm82.a2.v1",78,89,63,126,185,119
"Glyma.20G197400.Wm82.a2.v1",2,5,3,1,9,6
"Glyma.18G201600.Wm82.a2.v1",59,62,37,51,71,74
"Glyma.06G203700.Wm82.a2.v1",49,41,56,53,43,56
"Glyma.03G043100.Wm82.a2.v1",59,50,38,30,34,31
"Glyma.12G033500.Wm82.a2.v1",176,170,131,134,131,121
"Glyma.01G133800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G200000.Wm82.a2.v1",42,31,25,30,44,29
"Glyma.07G103500.Wm82.a2.v1",24,39,31,35,52,33
"Glyma.02G125500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G334400.Wm82.a2.v1",19,27,34,9,6,9
"Glyma.02G145500.Wm82.a2.v1",330,359,234,222,199,210
"Glyma.07G058000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G236800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G117400.Wm82.a2.v1",4,4,5,14,23,5
"Glyma.15G160200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G045600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G039600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G162900.Wm82.a2.v1",0,0,0,1,0,1
"Glyma.20G065200.Wm82.a2.v1",62,62,56,56,72,57
"Glyma.20G183900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G116500.Wm82.a2.v1",162,133,116,83,102,93
"Glyma.09G076500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G105800.Wm82.a2.v1",8,0,0,2,4,3
"Glyma.03G200800.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.06G309900.Wm82.a2.v1",265,253,178,228,233,187
"Glyma.19G095000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G141000.Wm82.a2.v1",135,133,115,141,161,108
"Glyma.01G201400.Wm82.a2.v1",127,104,90,80,84,73
"Glyma.11G085300.Wm82.a2.v1",3,0,0,1,0,1
"Glyma.16G055600.Wm82.a2.v1",23,17,5,22,17,23
"Glyma.01G210600.Wm82.a2.v1",169,169,159,128,136,140
"Glyma.01G158800.Wm82.a2.v1",49,40,30,57,46,47
"Glyma.17G167600.Wm82.a2.v1",50,45,25,11,21,20
"Glyma.20G018800.Wm82.a2.v1",90,125,92,42,46,41
"Glyma.17G190200.Wm82.a2.v1",3,3,3,2,5,4
"Glyma.17G156800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G181500.Wm82.a2.v1",112,116,58,43,57,50
"Glyma.11G053100.Wm82.a2.v1",30,19,21,27,35,25
"Glyma.09G164700.Wm82.a2.v1",116,131,95,128,172,114
"Glyma.15G045800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G136600.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.13G315700.Wm82.a2.v1",11,7,5,7,7,6
"Glyma.13G235800.Wm82.a2.v1",70,87,51,59,68,70
"Glyma.12G215200.Wm82.a2.v1",70,66,57,109,157,100
"Glyma.20G122800.Wm82.a2.v1",178,138,111,67,74,87
"Glyma.07G268100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G122700.Wm82.a2.v1",192,171,262,85,107,143
"Glyma.12G179600.Wm82.a2.v1",21,19,16,15,27,17
"Glyma.12G099500.Wm82.a2.v1",12,27,26,27,13,19
"Glyma.01G194000.Wm82.a2.v1",3,1,1,0,0,1
"Glyma.01G091100.Wm82.a2.v1",0,1,0,0,0,2
"Glyma.02G112600.Wm82.a2.v1",83,69,65,87,111,81
"Glyma.06G225800.Wm82.a2.v1",342,412,281,492,542,327
"Glyma.03G109400.Wm82.a2.v1",161,163,156,110,127,146
"Glyma.16G191800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G187200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G261900.Wm82.a2.v1",14,6,6,5,7,3
"Glyma.11G089700.Wm82.a2.v1",31,35,28,22,34,24
"Glyma.03G029100.Wm82.a2.v1",0,1,1,0,0,0
"Glyma.10G066500.Wm82.a2.v1",691,688,545,804,988,574
"Glyma.04G066800.Wm82.a2.v1",151,164,145,192,217,181
"Glyma.07G085000.Wm82.a2.v1",21,24,17,57,90,48
"Glyma.06G193400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G111700.Wm82.a2.v1",59,55,46,31,26,29
"Glyma.19G132200.Wm82.a2.v1",204,200,139,135,139,117
"Glyma.20G218200.Wm82.a2.v1",1602,1555,1348,1265,1175,1021
"Glyma.08G328100.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.06G243500.Wm82.a2.v1",12,10,7,3,5,11
"Glyma.06G037300.Wm82.a2.v1",237,252,193,170,200,156
"Glyma.15G197500.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.01G095800.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.01G182100.Wm82.a2.v1",1,2,1,4,4,8
"Glyma.01G150600.Wm82.a2.v1",189,171,147,98,115,117
"Glyma.11G110000.Wm82.a2.v1",977,1168,814,843,809,664
"Glyma.17G202000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G038400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G216000.Wm82.a2.v1",193,215,155,218,242,135
"Glyma.15G192000.Wm82.a2.v1",24,40,13,42,31,35
"Glyma.18G245900.Wm82.a2.v1",186,201,162,181,201,161
"Glyma.02G129400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G023800.Wm82.a2.v1",327,311,250,226,293,307
"Glyma.13G143500.Wm82.a2.v1",84,78,49,40,38,26
"Glyma.01G052700.Wm82.a2.v1",26,49,20,12,27,28
"Glyma.14G192100.Wm82.a2.v1",584,625,480,533,438,407
"Glyma.19G144800.Wm82.a2.v1",4,2,1,0,2,1
"Glyma.06G112400.Wm82.a2.v1",115,131,93,93,97,72
"Glyma.03G176400.Wm82.a2.v1",457,583,421,577,694,474
"Glyma.19G094900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G282800.Wm82.a2.v1",25,26,14,1,6,7
"Glyma.11G114300.Wm82.a2.v1",155,157,144,166,244,104
"Glyma.10G248800.Wm82.a2.v1",90,69,57,51,81,45
"Glyma.19G015800.Wm82.a2.v1",24,40,33,17,16,16
"Glyma.09G082500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G063500.Wm82.a2.v1",500,577,394,575,638,402
"Glyma.02G093400.Wm82.a2.v1",21,20,11,38,33,30
"Glyma.13G149200.Wm82.a2.v1",135,140,105,110,127,107
"Glyma.02G098800.Wm82.a2.v1",40,65,41,28,23,39
"Glyma.04G240000.Wm82.a2.v1",327,356,291,271,231,243
"Glyma.18G091800.Wm82.a2.v1",7,0,6,2,4,4
"Glyma.18G293300.Wm82.a2.v1",3,0,2,2,5,7
"Glyma.05G179200.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.08G211900.Wm82.a2.v1",160,159,106,147,143,160
"Glyma.15G209600.Wm82.a2.v1",64,58,42,52,48,44
"Glyma.17G154300.Wm82.a2.v1",9,13,7,7,1,3
"Glyma.18G289000.Wm82.a2.v1",453,479,392,235,200,180
"Glyma.12G160400.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.05G066500.Wm82.a2.v1",61,48,38,64,96,60
"Glyma.10G181600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G181500.Wm82.a2.v1",19,17,8,25,36,14
"Glyma.18G206900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G121800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G223600.Wm82.a2.v1",940,1130,840,789,744,736
"Glyma.19G065400.Wm82.a2.v1",127,132,88,96,87,86
"Glyma.03G006700.Wm82.a2.v1",24,22,20,54,96,27
"Glyma.05G102200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G211300.Wm82.a2.v1",1,0,2,2,0,0
"Glyma.07G200400.Wm82.a2.v1",47,63,33,48,64,46
"Glyma.07G098900.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.02G208300.Wm82.a2.v1",12,9,4,2,1,2
"Glyma.19G064100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G075600.Wm82.a2.v1",481,491,374,610,791,435
"Glyma.01G158400.Wm82.a2.v1",84,92,69,59,63,56
"Glyma.18G236000.Wm82.a2.v1",85,81,78,105,107,99
"Glyma.09G182400.Wm82.a2.v1",4,7,0,1,3,0
"Glyma.11G220200.Wm82.a2.v1",98,102,105,99,91,105
"Glyma.19G148000.Wm82.a2.v1",25,28,17,28,29,26
"Glyma.07G156200.Wm82.a2.v1",0,1,1,1,0,0
"Glyma.13G098900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G004200.Wm82.a2.v1",185,135,131,106,140,90
"Glyma.17G154000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G159300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G279800.Wm82.a2.v1",222,225,195,112,104,102
"Glyma.14G217200.Wm82.a2.v1",71,71,49,74,99,82
"Glyma.16G100100.Wm82.a2.v1",14,8,8,11,10,7
"Glyma.09G246100.Wm82.a2.v1",184,246,158,156,159,161
"Glyma.14G059500.Wm82.a2.v1",2,0,3,2,5,1
"Glyma.17G178500.Wm82.a2.v1",3,12,4,5,2,0
"Glyma.02G082600.Wm82.a2.v1",95,90,67,77,92,90
"Glyma.18G005900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G148600.Wm82.a2.v1",66,62,52,47,65,38
"Glyma.07G037800.Wm82.a2.v1",34,29,18,34,32,19
"Glyma.03G115900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G021200.Wm82.a2.v1",1,2,1,0,0,0
"Glyma.10G115300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G118900.Wm82.a2.v1",303,293,172,121,126,112
"Glyma.09G046100.Wm82.a2.v1",6,9,3,10,11,3
"Glyma.14G219000.Wm82.a2.v1",215,175,160,169,183,116
"Glyma.17G250900.Wm82.a2.v1",304,311,239,291,410,338
"Glyma.06G290200.Wm82.a2.v1",11,12,5,3,7,21
"Glyma.11G044800.Wm82.a2.v1",1714,1593,1171,155,169,256
"Glyma.19G208500.Wm82.a2.v1",66,73,61,49,40,41
"Glyma.04G239600.Wm82.a2.v1",27,25,19,32,23,18
"Glyma.01G028400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G269200.Wm82.a2.v1",5,2,2,2,3,1
"Glyma.10G027500.Wm82.a2.v1",2,2,2,0,0,1
"Glyma.01G149200.Wm82.a2.v1",0,0,1,0,1,0
"Glyma.17G107500.Wm82.a2.v1",275,299,268,234,298,295
"Glyma.18G167800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G150900.Wm82.a2.v1",0,0,0,1,4,2
"Glyma.01G244600.Wm82.a2.v1",72,98,99,32,36,42
"Glyma.16G134000.Wm82.a2.v1",219,243,228,51,64,103
"Glyma.16G136400.Wm82.a2.v1",152,142,103,90,101,96
"Glyma.11G055200.Wm82.a2.v1",327,356,291,146,183,184
"Glyma.17G151800.Wm82.a2.v1",13,15,9,15,38,16
"Glyma.15G145600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G026700.Wm82.a2.v1",445,424,187,143,160,183
"Glyma.13G356800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G141800.Wm82.a2.v1",169,111,116,1135,2127,908
"Glyma.09G272900.Wm82.a2.v1",15,12,8,11,10,16
"Glyma.04G250700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G176800.Wm82.a2.v1",41,30,36,30,34,27
"Glyma.16G148600.Wm82.a2.v1",1,1,0,0,0,1
"Glyma.17G187300.Wm82.a2.v1",1,0,0,1,0,1
"Glyma.11G100900.Wm82.a2.v1",5,8,4,3,4,2
"Glyma.07G250800.Wm82.a2.v1",0,2,0,0,0,0
"Glyma.05G134200.Wm82.a2.v1",2,5,6,8,9,4
"Glyma.08G089500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G125100.Wm82.a2.v1",126,108,87,110,113,62
"Glyma.12G012500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G194600.Wm82.a2.v1",199,207,97,99,80,75
"Glyma.10G067400.Wm82.a2.v1",38,34,19,31,24,29
"Glyma.10G254200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G126600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G103700.Wm82.a2.v1",67,76,63,55,73,48
"Glyma.07G104500.Wm82.a2.v1",8,15,10,20,22,11
"Glyma.09G163900.Wm82.a2.v1",308,125,63,39,208,174
"Glyma.14G079000.Wm82.a2.v1",83,66,42,46,50,41
"Glyma.14G157100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G200300.Wm82.a2.v1",14,20,13,17,16,14
"Glyma.06G250000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G289600.Wm82.a2.v1",8,10,13,6,10,7
"Glyma.04G178900.Wm82.a2.v1",5,3,2,4,3,4
"Glyma.06G024200.Wm82.a2.v1",27,36,33,30,39,29
"Glyma.06G102700.Wm82.a2.v1",264,284,194,114,90,173
"Glyma.01G038300.Wm82.a2.v1",162,165,121,147,169,166
"Glyma.18G079300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G157700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G051100.Wm82.a2.v1",241,259,231,182,209,153
"Glyma.10G053100.Wm82.a2.v1",324,266,206,234,268,176
"Glyma.07G089500.Wm82.a2.v1",352,351,279,198,180,175
"Glyma.15G146000.Wm82.a2.v1",0,3,1,2,1,2
"Glyma.15G125400.Wm82.a2.v1",23,27,24,33,30,23
"Glyma.06G176100.Wm82.a2.v1",275,337,261,330,412,337
"Glyma.08G106300.Wm82.a2.v1",19,17,12,18,21,24
"Glyma.11G187800.Wm82.a2.v1",91,112,76,72,99,78
"Glyma.19G176500.Wm82.a2.v1",2,2,3,1,3,2
"Glyma.16G131800.Wm82.a2.v1",125,124,89,163,143,181
"Glyma.U031500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G210100.Wm82.a2.v1",2,2,1,4,0,1
"Glyma.18G291400.Wm82.a2.v1",57,62,54,54,74,59
"Glyma.15G231500.Wm82.a2.v1",153,170,108,119,107,143
"Glyma.13G319000.Wm82.a2.v1",166,158,140,125,110,110
"Glyma.14G148500.Wm82.a2.v1",95,118,88,123,130,99
"Glyma.01G216200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G047600.Wm82.a2.v1",4972,6055,4085,5339,5173,3950
"Glyma.17G229300.Wm82.a2.v1",93,74,59,39,65,53
"Glyma.12G123500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G002100.Wm82.a2.v1",14,8,6,7,5,4
"Glyma.01G034000.Wm82.a2.v1",481,743,702,242,307,413
"Glyma.19G242200.Wm82.a2.v1",241,257,195,288,285,237
"Glyma.08G119900.Wm82.a2.v1",28,30,29,23,31,26
"Glyma.13G367200.Wm82.a2.v1",25,32,36,16,24,30
"Glyma.06G194900.Wm82.a2.v1",9751,12603,9439,11026,10766,9088
"Glyma.19G256500.Wm82.a2.v1",15,17,18,22,23,8
"Glyma.15G269900.Wm82.a2.v1",230,208,176,152,144,150
"Glyma.04G131900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G091000.Wm82.a2.v1",9,9,4,9,12,2
"Glyma.02G269700.Wm82.a2.v1",747,817,574,521,560,503
